id;value;label;source;remarks;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude;geom
34;;Zuonaayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000008A2765BF8F5EEBBF51A4D9E2D8C22240
35;;Dohini-Kukuo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000003B597EC259FEEBBF9C66780057BB2240
36;;Dohini;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000001EB480479484EBBFEDD392DF09BA2240
37;;Kpanvo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000404A64810241EABFA350B12A25BA2240
38;;Tua;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000042F0AEB2F374E9BFFA68E0C56AB92240
39;;Dabokpaa;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000007F7BE8AE4E49EABF09634D2F3AC52240
40;;Bagliga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F78E3752F635E9BF6156FFDA1DA92240
41;;Vitin-Dabogse;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000040191881B85DE9BFDC889DE2D3C32240
42;;Wamale;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002D981A79F5A2E8BF9F2101727CC12240
43;;Chansie;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000006196021A0F29E8BF17BAFE50B9BF2240
44;;Parishe;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000009F466970659E8BF3F08D038F4B32240
45;;Difaa;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000005D1326A64E1CE8BFD08A02C8EFB22240
48;;Foo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000609E788CEDD3E9BF5F43404151D82240
49;;Gbalahi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002B7611139996E8BF8037959883DC2240
50;;Wovoguma;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002D7976BFA256E8BFE586506139E62240
51;;Taha-Kpawumo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000065BB657746EE9BF78079A9E08E22240
52;;Kanvili-Kpawumo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000EA444C9C0C58EABFD370649DC9E12240
54;;Wovogo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E2EF9C8F192DE8BF72D512A3BBEA2240
55;;Gburima;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000C92BA464F82BE8BFD791BE0D1BF22240
56;;Manguli;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000955EF72B04EBE8BF628D5761DEF22240
57;;Jana;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B0F453770EA6E9BFEFE7052A79F42240
58;;Janakpen;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000259D8D506966E9BF625E4EEE49F62240
59;;Gbalisie;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000396BBFC1CFC7E8BF41990A92B7FA2240
60;;Sahakpaligu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000C9FF5452204BEABF7A7C6D646DFE2240
61;;Gbanyamn;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000003D5933082671EABF9D0F9726A4F02240
62;;Bihinayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000029793A2DE6BDEABFBF861FF3CAEB2240
64;;Choggo-Yapalsi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000052A468B4CC9AEBBFC41DDCFA35E12240
65;;Kumbuyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000AA5EC69290F5EBBFFDC14ADBD4F12240
66;;Dabogshie;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000527D18CFD303ECBFE74DC5043FFA2240
69;;Kotingli;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000001F8850EECF4EE9BFA324B3AC6DAE2240
70;;Banvim;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000009CC4A0139ECBEABF0E1EAB6EE5B62240
71;;Kalaraga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000560ACFCBAC89EABF504BEE4E9AC22240
72;;Vitin;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000003514764E659BE9BF93B613DD53C12240
73;;Bulpeila;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000C4A21F2C8030EBBF8E43776003C42240
74;;Kakpagayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000015CDB38FD966EBBF934D2376F2BF2240
75;;Zujung;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000063DDE2BCE7C3EBBF61C1C2ACAFBE2240
76;;Kambonayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000DD295154ED51ECBFA43A73796CB72240
77;;Zamzugu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000EBEA672C32CFEFBF95D0ADECF2A22240
47;;Koblimahagu (eastern Tamale);Survey Department Tile 0901C;relabeled (AH);;;;64;2016-03-10 22:44:25.315921+01;0;0;0;9.40520020407523;-0.811579017610547;0101000020E6100000393A588F74F8E9BFD9ABB16676CF2240
67;;Sugashie (south of Tamale);Survey Department Tile 0901C;relabeled (AH);;;;64;2016-03-10 23:12:01.120913+01;0;0;0;9.29130702514187;-0.876981650393844;0101000020E6100000FE4674D23B10ECBFA728C43126952240
78;;Foshegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000006D3B51F7FC5ECBF0B569031EAA22240
79;;Golinga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000ABA7E35DBE2AEEBF6090280A3DB42240
80;;Gbulahagu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000AA5FACD14797EEBFC0FC4D2566B22240
82;;Nyohene;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000016C03940B2F3EBBF4EB8A35A6ACC2240
83;;Lamashegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000005E14B727F87FEBBF0C3D98EFF3C72240
84;;Dohinayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000001EDFB872C38BEABF17407A0D1FC62240
86;;Shishegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000014C90A25054FECBFAE42F98C78CE2240
87;;Bukpomo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000056EC73631373EEBF4FD07294AED02240
88;;Namandu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002EF87F7BAA9DEDBFE10DA802BCD42240
89;;Kukpehe;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000008AE82B34C788EEBF2AABB1BE02D52240
90;;Kpinjinga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000440CF914819AEEBF45F1F19543D82240
91;;Kokpen;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000CFF5E2B055E2EEBFF1CBCA757FDB2240
92;;Kpachi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000513339D9BE31EFBF901EA3BB76DA2240
93;;Dindo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000040996EFB48DFEFBF6F2626FD8ED32240
94;;Yipelinayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000C333ED0CC8F3EFBF73C24A7819D92240
95;;Yepalsi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000581BB1C6A9CEEFBF55A99D0EB7E02240
96;;Ngodua;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000008DA0F2914773EFBF9BB3895A6EE22240
97;;Balinkpen;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000C355BA8136A7EFBFAB6BABB0B3E62240
98;;Nyorun;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F3B2E534E3DBEFBF7791293AC4EC2240
99;;Tansheigu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000001CE5223A7456EFBF1379F0C53DF52240
100;;Gun;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E0FE33CF9AA8EFBF2F21838345FA2240
101;;Limo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000005969DB924AE5EEBF6FEEDDF37CFA2240
102;;Zoonayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000776996942FE6EDBF1311334728FF2240
103;;Ngodua;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000048ADFE87AFCEEDBFC75041B1A9F72240
104;;Ngogu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000001590FF9BBB93EDBF872948E90BF02240
105;;Kochim;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000004FC1C068E2E9EDBF23A7F89D29F12240
106;;Pilo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F61F514C9444EDBF4ABFAECF67F72240
107;;Napagayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000057444F9053E6ECBFE6B4C9D612F92240
108;;Kukuo-Yepalsi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000BE9383F957DFECBFADF8B072A9F02240
109;;Dushegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000DCE0D2E52726EDBF96C3D492F0E52240
110;;Ngarun;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002D0F2A762C30EDBF14778DE376E32240
111;;Dumala;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000007310DD746B8EECBF6FD5DBDDBBE52240
112;;Gbolo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F80CABD2B9EAEBBF7F851A7BF8E12240
113;;Kpalsi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000A54C21059E06ECBFB26B285C1BE02240
115;;Kasaligu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E21FBE7A5B2FEDBF7E1E602FA4D02240
116;;Nanbogu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000EC404EEFC40DEEBFE7944EF128D42240
117;;Sanga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E07229A4DB58EEBF9116196748DE2240
118;;Kpaliga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000060005D102592EEBFCCE93F2224E32240
119;;Cheyohi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000CBA9CDD07D70EFBF9E66DF1C3BDE2240
120;;Cheshegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E0AB8C9E6AD5EEBF517A66DA55E82240
121;;Bogunayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000DB72098126E4EDBF08908BBC97EA2240
122;;Mbanayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B80C11F1F340EDBF7B3EC463DBEE2240
123;;Sogonayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000001476EAA34865ECBFAAB29D6C4BE82240
124;;Sanerigu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000074290D7C480DECBFDF74A9C89CD32240
125;;Choggo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000ACF9C4D8E358EBBF2259D4AF55D82240
126;;Choggo-Manayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000020C16E6CD17EEBBFD059A878DEDA2240
127;;Nyanshego;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F2C55B2BE6B3EABFC6EA2B2220D82240
128;;Kalipohin;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000004B3B65438172EABF8173A72C8DD42240
129;;Taha;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000032A0B4817511E9BF4E4262540ADE2240
130;;Kanvili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000044457451D3C8EABF789DE2656DE42240
131;;Jisonayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000049558931F34AEBBF886D677ADCE62240
132;;Gurugu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000017F8414604B1EBBFFDD337FF24E92240
133;;Zagayuli;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000BD7401B1E8FEEABFEF821E7972EF2240
135;;Katariga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E6DFA557B695EBBFABECCD7D3AF42240
137;;Maleshegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B021CA76642BECBF6B254742A1F42240
138;;Wayamba;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000002DCD1FFD654EBBFBC88FBC6CCFD2240
139;;Yonduni;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000CC9CE75B4B28ECBF9C0F20B1F6FE2240
140;;Gumo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000008D44E50C86C6ECBFD28BFEE265FE2240
141;;Gupanerigu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002B3F0C1FB960EEBF59DAD22956FD2240
142;;Nyankpala;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000DD9233894746EFBFA4CCEFA044C92240
143;;Gumbihini;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000099A54FDC3389EBBF5F22D5713AD32240
145;;Disp;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000005326B0C82523EBBFCF35B504F8C72240
146;;GBO;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000626882BB635FEBBFAB1FBB581AD52240
148;;Locator;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000009951D048214FECBF5463C0FBF3D62240
149;;Beacon;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000DC59CBC7554EECBF5106397281D62240
150;;Kunjakwarri;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000EB2DD5B11079E8BF34495369B2952240
151;;Gora;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E3B2A2416236EEBF3FACCA4E5E992240
152;;Sangaliga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000EA64EE5C0C46E9BFAB37873BFEB92240
153;;Pasam;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002CE53EDD6B20E9BF13E211762ED52240
136;;Sugashie (north of Tamale);Survey Department Tile 0901C;relabeled (AH);;;;64;2016-03-10 23:11:29.976615+01;0;0;0;9.48523789836233;-0.857533776271653;0101000020E61000000DAB89ACEA70EBBFF17D101A71F82240
85;;Kukuo (Tamale);Survey Department Tile 0901C;relabeled (AH);;;;64;2016-04-11 14:13:51.739404+02;0;0;0;9.3980541410576;-0.814577140180634;0101000020E610000018A424140411EABF72C29BC0CDCB2240
154;;Dirinyogo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000057AF3C105DB6E9BFA7497E999BF72240
155;;Kusuguma;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000007D4EAA62E416EFBFE3553AD715F42240
156;;Lumvari;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000213E1CA740FCE8BF75BE486DFCF82240
157;;Kwaha;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000003B3EFDECBF40EDBFC9F79E5925BE2240
158;;Jolo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000000771A3B78C91EDBF71631C76F79D2240
159;;Tanpe-Kukua;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000040563C1A3F3DECBF68226D1958EF2240
160;;Sinsablegwini;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000090731C74F62E5BF74EF5C67D9DB2240
161;;Takpili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B43578A40AA1E2BF6A18A1693F992240
162;;Kujari;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000070252CA32D01E1BF3EB2C2F81D9C2240
163;;Namvili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000000C73F0E6CB53E0BF0810B661869F2240
164;;Kpani;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F0CDAD69778EE0BF0A1859D520B02240
165;;Kpabia;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000D2085D5FE749E0BF1BB6E4FA03B32240
166;;Kporo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000006D906574E84AE1BFA7421C998EB42240
167;;Ngwali;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F9BC64A81F32E0BF226A14631AC22240
168;;Kpalikori;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000FD4F9B783B6BE0BF667DF6DE68C62240
169;;Botingli;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000007AD96281580FE1BFA1D9C4CF82C62240
170;;Yapala;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000003D8C0E28B39E2BF3F1080C6DCC22240
171;;Zuro;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000BB48B79428B9E1BFF6AFBE1B70D52240
172;;Labariga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000C89E934FACE0E2BF6C726E3F2AD92240
173;;Juni;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000096575E01690BE4BF40EF07054BAE2240
174;;Dagoyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000048214F4888AAE4BF748B781E67B62240
175;;Fita;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000BDA47966BC47E5BF7663ACAB2FB12240
176;;Cheko;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000008AE20B9EA5FDE5BF7C90AF6778A82240
177;;Dunyi;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F7DA025F03C1E7BF28A7C50497AE2240
178;;Gbabshe;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B54423B82899E7BF66B7ADAC59B82240
179;;Tuya;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000D6EA29F77EA2E6BF272C43ACCEC42240
180;;Pagaza;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000071A7ADE0BD9CE6BFE093F299DCBF2240
181;;Kpintaliga;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000016691D582A20E7BF6ED0A842B7D32240
182;;Kulaa;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000090F6B985C13CE7BF2BF59C0F24E42240
183;;Kpalgaduli;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000003794E0AD22A4E6BF5384872084F02240
184;;Moya;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B62082DCC9F1E5BFC32355C3ECF12240
185;;Dohe;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000005A69EA22C038E6BFE3064EE449FB2240
186;;Goluri;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000000B85148983AAE6BFB27E982488FB2240
187;;Nyamandu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000332691201545E7BFFAE4AD603CFF2240
188;;Guntingli;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000000D9D83B11552E6BFCD6AC072BBFE2240
189;;Sakoya;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000002D5EC3286542E0BFC708D26E9EF42240
190;;Zakariyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000AB4562875737E5BF988DD51917C02240
191;;Tugu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B124DCC4F056E3BF4B6CBF6C70BC2240
192;;Zibogo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000003E1C0BC2F06AE5BF396568987AC52240
193;;Tikyeri;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000036FA3478B241E7BF21E1866128C22240
194;;Lahagu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B4AD6F7E7388E7BF37BE2219C3A72240
195;;Zuo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000617D1D0D00B2E7BF87E5AA769FBB2240
196;;Langa;Maplibrary;;;;;;;;;;;;0101000020E610000096BDFF3F3951ECBFBFFFFFFF07242340
197;;Kogni;Maplibrary;;;;;;;;;;;;0101000020E6100000F7B9FFBF43E0EABFB4FFFFDF5F112340
198;;Savelugu;Maplibrary;;;;;;;;;;;;0101000020E610000059B8FF5F8480EABFAFFFFFFFCB3F2340
200;;Pong Tamale;Maplibrary;;;;;;;;;;;;0101000020E6100000F1B7FFFFE792EABFB0FFFF3F43622340
201;;Nabogo;Maplibrary;;;;;;;;;;;;0101000020E6100000E8B6FF9FAD5AEABFACFFFFBF9F7C2340
202;;Kumbungu;Maplibrary;;;;;;;;;;;;0101000020E610000067C3FF3F0162EEBFCEFFFFDF9B1D2340
203;;Zangbulung;Maplibrary;;;;;;;;;;;;0101000020E610000069C5FF5F0019EFBFD0FFFFDF5C202340
204;;Nawuni;Maplibrary;;;;;;;;;;;;0101000020E61000001DE6FF5FEECDF0BFDBFFFFFFAB502340
205;;Kasuridaborshe;Maplibrary;;;;;;;;;;;;0101000020E610000026E9FFFF65D6F1BFE5FFFFFFD3182340
207;;Lungbunga;Maplibrary;;;;;;;;;;;;0101000020E610000020EDFF5F7F60F3BFEEFFFF5F1D492340
208;;Tolon;Maplibrary;;;;;;;;;;;;0101000020E610000016E7FF3F9906F1BFDFFFFFDFEDDA2240
209;;Gbullung;Maplibrary;;;;;;;;;;;;0101000020E6100000B5E4FF1F1831F0BFD9FFFFBF17F72240
210;;Kpalisogu;Maplibrary;;;;;;;;;;;;0101000020E6100000C1E4FF3F4A27F0BFD8FFFF3F09CF2240
211;;Tali;Maplibrary;;;;;;;;;;;;0101000020E61000005CE9FF3F17DEF1BFE5FFFFFFEEE22240
212;;Segbasi;Maplibrary;;;;;;;;;;;;0101000020E61000006381FFFFAFB0D4BF79FEFFDF51EC2240
213;;Salkpang;Maplibrary;;;;;;;;;;;;0101000020E61000008684FFDF82D1D4BF7EFEFF3F88D42240
214;;Sang;Maplibrary;;;;;;;;;;;;0101000020E6100000E198FFDF7FE1D1BF47FEFF7F07D32240
215;;Kpabiya;Maplibrary;;;;;;;;;;;;0101000020E61000008280FFDFD56ACEBF17FEFF9F46862240
216;;Sambu;Maplibrary;;;;;;;;;;;;0101000020E6100000C1450020B3E7BDBF4AFDFFDF5AD22240
217;;Yendi;Maplibrary;;;;;;;;;;;;0101000020E6100000DA3C1280F0B983BF66FCFFDFC5E02240
218;;Sakpeigu;Maplibrary;;;;;;;;;;;;0101000020E6100000806D0680ED349ABF82FCFFBFAE162340
219;;Tu wuo;Maplibrary;;;;;;;;;;;;0101000020E61000006581FFBF5D30BDBF2DFDFF5F1F812340
220;;Kukpaligu;Maplibrary;;;;;;;;;;;;0101000020E6100000918FFF9FA784C2BF68FDFF1FCB7C2340
221;;Pigu;Maplibrary;;;;;;;;;;;;0101000020E610000016B5FF3FF467EABFACFFFF3F3EF52340
222;;Diari;Maplibrary;;;;;;;;;;;;0101000020E61000006CBAFFBFDDE8EBBFB6FFFF7FF6BB2340
223;;Karaga;Maplibrary;;;;;;;;;;;;0101000020E61000003547FF7FE2BDDBBFD7FEFF3F60D82340
224;;Tingoli;Maplibrary;;;;;;;;;;;;0101000020E610000077E6FF3FF5BDF0BFDEFFFF7F9CA92240
225;;Tochanyili;Maplibrary;;;;;;;;;;;;0101000020E610000049C5FFDF77AFEEBFD0FFFF5F20B32240
226;;Yipalgu;Maplibrary;;;;;;;;;;;;0101000020E6100000ADE7FF3F6535F1BFE2FFFFDF65BC2240
227;;Kpachile;Maplibrary;;;;;;;;;;;;0101000020E610000006E9FFFF8DB5F1BFE4FFFF3F33BE2240
228;;Gburmani;Maplibrary;;;;;;;;;;;;0101000020E61000006DE9FF5F48E1F1BFE3FFFF5F2BCC2240
